Tilinumero	FI8813093500123456
Kirjauspaiva	Arvopaiva	Maksupaiva	Maara	Saaja/Maksaja	Tilinumero	BIC	Tapahtuma	Viite	Maksajan viite	Viesti	Kortinnumero	Kuitti	
01.09.2017	01.09.2017	01.09.2017	-61.00	Stockmann Helsinki			Korttiosto	150830508302		Helsinki 	4444333322221111		
01.09.2017	01.09.2017	01.09.2017	330.00	Stockmann Helsinki			Tilisiirto			Hyvitys 			
04.09.2017	04.09.2017	04.09.2017	-6.90	AALTO T-TALO SUBWAY			Korttiosto	150903001144		Espoo 	4444333322221111		
04.09.2017	04.09.2017	04.09.2017	-180.00				ATMotto/Otto.			05452 	4444333322221111		
07.09.2017	06.09.2017	06.09.2017	-53.70	BONNIER JULKAISUT OY	FI5931313001103712	HANDFIHHXXX	Itsepalvelu	28672 08285 08558					
07.09.2017	07.09.2017	07.09.2017	-201.62	VEROHALLINTO	166030-116809	NDEAFIHHXXX	Itsepalvelu	RF39 5305 0582 1709 3045 0196					
07.09.2017	07.09.2017	07.09.2017	-2.80	Fazer Food Services Oy			Korttiosto	150903509030		ESPOO 	4444333322221111		
07.09.2017	07.09.2017	07.09.2017	-15.00	KULTA-AIKA OY/SELLO			Korttiosto	150904014935		ESPOO 	4444333322221111		
08.09.2017	08.09.2017	08.09.2017	-14.26	Sellon apteekki			Korttiosto	150904509040		Espoo 	4444333322221111		
08.09.2017	08.09.2017	08.09.2017	-146.60	FORTUM ASIAKASPALVELU OY	205718-150084	NDEAFIHH	e-lasku	230 21492 05591 33820					
09.09.2017	09.09.2017	09.09.2017	-95.20	Instrumentarium Tapiola			Korttiosto	150908013740		ESPOO 	4444333322221111		
14.09.2017	12.09.2017	12.09.2017	-32.40	PAYTRAIL OYJ	104530-176270	NDEAFIHHXXX	e-maksu	6600 18238		Focusoiva Oy 			
14.09.2017	14.09.2017	14.09.2017	-7.23	ALEPA			Korttiosto	150910825432		ESPOO 	4444333322221111		
14.09.2017	14.09.2017	14.09.2017	-64.97	K supermarket			Korttiosto	150912034222		Espoo 	4444333322221111		
14.09.2017	14.09.2017	14.09.2017	-17.64	Elisa Oyj	FI8780001770229798	DABAFIHH	e-lasku	80 30004 48856					
15.09.2017	15.09.2017	15.09.2017	1187.20	AALTO-KORKEAKOULUSAATIO			Pano		2017.09.08-FV322001-001001114006	2017.09.15 PALKKA 			
15.09.2017	15.09.2017	15.09.2017	-9.98	Saunalahti	FI0580001470824575	DABAFIHH	e-lasku	80 36122 10939					
16.09.2017	16.09.2017	16.09.2017	-6.00	AALTO T-TALO SUBWAY			Korttiosto	150915001143		Espoo 	4444333322221111		
17.09.2017	17.09.2017	17.09.2017	-57.50	SANOMA MEDIA FINLAND OY	157130-18821	NDEAFIHHXXX	Itsepalvelu	90011 10911 00109					
18.09.2017	18.09.2017	18.09.2017	-94.50	TEKNIIKAN AKATEEMISET RY	155530-100561	NDEAFIHHXXX	Itsepalvelu	10183 33111 50017					
21.09.2017	19.09.2017	19.09.2017	-180.00				ATMotto/Otto.			04716  	4444333322221111		
21.09.2017	20.09.2017	20.09.2017	-87.00	Lippupalvelu.fi	240418-14249	NDEAFIHHXXX	e-maksu	3 94633 50193					
21.09.2017	21.09.2017	21.09.2017	-6.96	S MARKET			Korttiosto	150917826131		ESPOO 	4444333322221111		
21.09.2017	21.09.2017	21.09.2017	-53.58	S MARKET			Korttiosto	150919826344		ESPOO 	4444333322221111		
28.09.2017	27.09.2017	27.09.2017	-25.30	VR e-lipunmyynti	166030-1852	NDEAFIHHXXX	e-maksu	7 27091 51296 26403		VR,junaliput 			
28.09.2017	28.09.2017	28.09.2017	-11.15	ALEPA			Korttiosto	150924826829		ESPOO 	4444333322221111		
28.09.2017	28.09.2017	28.09.2017	-70.43	PRISMA			Korttiosto	150926827035		ESPOO 	4444333322221111		
29.09.2017	29.09.2017	29.09.2017	-5.50	S MARKET			Korttiosto	150927827124		ESPOO 	4444333322221111		
